transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort
Signing,2026-07-03,San Antonio Spurs signed guard Ja'Kobi Gillespie to a Two-Way Contract.,SAS,1643551.0,jakobi-gillespie,Signing 1152750
Signing,2026-07-03,San Antonio Spurs signed center Tarris Reed Jr. to a Rookie Scale Contract.,SAS,1643542.0,tarris-reed-jr,Signing 1152751
Signing,2026-07-03,San Antonio Spurs signed forward Jayden Quaintance to a Rookie Scale Contract.,SAS,1643519.0,jayden-quaintance,Signing 1152752
Signing,2026-07-03,Oklahoma City Thunder signed guard Otega Oweh to a Two-Way Contract.,OKC,1642923.0,otega-oweh,Signing 1152753
Signing,2026-07-03,Oklahoma City Thunder re-signed guard Brooks Barnhizer to a Two-Way Contract.,OKC,1642964.0,brooks-barnhizer,Signing 1152754
Signing,2026-07-03,Oklahoma City Thunder signed  Josh Dix to a Two-Way Contract.,OKC,1643717.0,josh-dix,Signing 1152755
Signing,2026-07-03,Oklahoma City Thunder signed guard Bennett Stirtz to a Rookie Scale Contract.,OKC,1642892.0,bennett-stirtz,Signing 1152756
Signing,2026-07-03,Oklahoma City Thunder signed center Aday Mara to a Rookie Scale Contract.,OKC,1643530.0,aday-mara,Signing 1152757
Signing,2026-07-03,Utah Jazz signed guard Tamar Bates to a Two-Way Contract.,UTA,1642926.0,tamar-bates,Signing 1152758
Signing,2026-07-03,Chicago Bulls signed forward Tobe Awaka to a Two-Way Contract.,CHI,1643591.0,tobe-awaka,Signing 1152759
Signing,2026-07-03,Dallas Mavericks signed guard Sergio de Larrea to a Rookie Scale Contract.,DAL,1643547.0,sergio-de-larrea,Signing 1152762
Signing,2026-07-03,Minnesota Timberwolves re-signed guard Bones Hyland to a Contract.,MIN,1630538.0,bones-hyland,Signing 1152764
Signing,2026-07-03,Philadelphia 76ers signed guard Labaron Philon to a Rookie Scale Contract.,PHI,1642889.0,labaron-philon,Signing 1152765
Signing,2026-07-03,Dallas Mavericks signed forward Tobi Lawal to a Two-Way Contract.,DAL,1643588.0,tobi-lawal,Signing 1152769
Signing,2026-07-03,LA Clippers signed guard Keaton Wagler to a Rookie Scale Contract.,LAC,1643413.0,keaton-wagler,Signing 1152770
Signing,2026-07-03,Chicago Bulls signed  Jaylin Sellers to a Two-Way Contract.,CHI,1643637.0,jaylin-sellers,Signing 1152771
Signing,2026-07-03,Chicago Bulls signed forward Dailyn Swain to a Rookie Scale Contract.,CHI,1643517.0,dailyn-swain,Signing 1152772
Signing,2026-07-03,Los Angeles Lakers re-signed guard Chris Manon to a Two-Way Contract.,LAL,1643024.0,chris-manon,Signing 1152773
Signing,2026-07-03,Chicago Bulls signed forward Caleb Wilson to a Rookie Scale Contract.,CHI,1643410.0,caleb-wilson,Signing 1152774
Signing,2026-07-03,Los Angeles Lakers signed guard Peter Suder to a Two-Way Contract.,LAL,1643614.0,peter-suder,Signing 1152815
Signing,2026-07-03,Los Angeles Lakers signed forward AK Okereke to a Two-Way Contract.,LAL,1643758.0,ak-okereke,Signing 1152816
Signing,2026-07-03,Phoenix Suns signed guard Pat Spencer to a Two-Way Contract.,PHO,1630311.0,pat-spencer,Signing 1152817
Waive,2026-07-03,Milwaukee Bucks waived forward Pete Nance.,MIL,1631250.0,pete-nance,Waive 1152768
