transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort,dedupe_key,source,source_url
Signing,2026-03-01,Boston Celtics signed guard John Tonje to a Two-Way Contract.,BOS,1642910.0,john-tonje,Signing 1146199,2026-03-01|BOS|1642910.0|Signing|Boston Celtics signed guard John Tonje to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-01,Minnesota Timberwolves signed guard Zyon Pullin to a Two-Way Contract.,MIN,1642389.0,zyon-pullin,Signing 1146200,2026-03-01|MIN|1642389.0|Signing|Minnesota Timberwolves signed guard Zyon Pullin to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-01,Minnesota Timberwolves signed forward Kyle Anderson to a Rest-of-Season Contract.,MIN,203937.0,kyle-anderson,Signing 1146225,2026-03-01|MIN|203937.0|Signing|Minnesota Timberwolves signed forward Kyle Anderson to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-02,Oklahoma City Thunder waived forward Buddy Boeheim.,OKC,1631205.0,buddy-boeheim,Waive 1146268,2026-03-02|OKC|1631205.0|Waive|Oklahoma City Thunder waived forward Buddy Boeheim.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-02,Oklahoma City Thunder signed forward Payton Sandfort to a Two-Way Contract.,OKC,1642362.0,payton-sandfort,Signing 1146228,2026-03-02|OKC|1642362.0|Signing|Oklahoma City Thunder signed forward Payton Sandfort to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-02,Phoenix Suns re-signed guard Jamaree Bouyea to a Rest-of-Season Contract.,PHO,1631123.0,jamaree-bouyea,Signing 1146226,2026-03-02|PHO|1631123.0|Signing|Phoenix Suns re-signed guard Jamaree Bouyea to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-02,Phoenix Suns signed forward CJ Huntley to a Two-Way Contract.,PHO,1643047.0,cj-huntley,Signing 1146253,2026-03-02|PHO|1643047.0|Signing|Phoenix Suns signed forward CJ Huntley to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-02,Portland Trail Blazers waived guard Javonte Cooke.,POR,1631451.0,javonte-cooke,Waive 1146269,2026-03-02|POR|1631451.0|Waive|Portland Trail Blazers waived guard Javonte Cooke.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-03,Cleveland Cavaliers waived guard Darius Brown.,CLE,1642468.0,darius-brown,Waive 1146465,2026-03-03|CLE|1642468.0|Waive|Cleveland Cavaliers waived guard Darius Brown.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-03,Cleveland Cavaliers signed center Olivier Sarr to a Two-Way Contract.,CLE,1630846.0,olivier-sarr,Signing 1146534,2026-03-03|CLE|1630846.0|Signing|Cleveland Cavaliers signed center Olivier Sarr to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-03,Signed Jayson Kent (NBA.com roster signing date),POR,1643257.0,jayson-kent,NBA roster signing 1643257,2026-03-03|POR|1643257.0|Signing|Signed Jayson Kent (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612757
Signing,2026-03-03,Signed Chris Youngblood (NBA.com roster signing date),POR,1642959.0,chris-youngblood,NBA roster signing 1642959,2026-03-03|POR|1642959.0|Signing|Signed Chris Youngblood (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612757
Signing,2026-03-03,Signed Jayson Kent (NBA.com roster signing date),POR,1643257,jayson-kent,NBA roster signing 1643257,2026-03-03|POR|1643257|Signing|Signed Jayson Kent (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612757
Signing,2026-03-03,Signed Chris Youngblood (NBA.com roster signing date),POR,1642959,chris-youngblood,NBA roster signing 1642959,2026-03-03|POR|1642959|Signing|Signed Chris Youngblood (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612757
Signing,2026-03-04,Signed Keshon Gilbert (NBA.com roster signing date),ATL,1642933.0,keshon-gilbert,NBA roster signing 1642933,2026-03-04|ATL|1642933.0|Signing|Signed Keshon Gilbert (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612737
Signing,2026-03-04,Signed Keshon Gilbert (NBA.com roster signing date),ATL,1642933,keshon-gilbert,NBA roster signing 1642933,2026-03-04|ATL|1642933|Signing|Signed Keshon Gilbert (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612737
Waive,2026-03-04,Denver Nuggets waived guard Tamar Bates.,DEN,1642926.0,tamar-bates,Waive 1146544,2026-03-04|DEN|1642926.0|Waive|Denver Nuggets waived guard Tamar Bates.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-04,Signed David Roddy (NBA.com roster signing date),DEN,1631223.0,david-roddy,NBA roster signing 1631223,2026-03-04|DEN|1631223.0|Signing|Signed David Roddy (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612743
Signing,2026-03-04,Signed David Roddy (NBA.com roster signing date),DEN,1631223,david-roddy,NBA roster signing 1631223,2026-03-04|DEN|1631223|Signing|Signed David Roddy (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612743
Signing,2026-03-04,Memphis Grizzlies re-signed forward Olivier-Maxence Prosper to a Rest-of-Season Contract.,MEM,1641765.0,olivier-maxence-prosper,Signing 1146537,2026-03-04|MEM|1641765.0|Signing|Memphis Grizzlies re-signed forward Olivier-Maxence Prosper to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-04,Memphis Grizzlies signed guard Rayan Rupert to a Two-Way Contract.,MEM,1641712.0,rayan-rupert,Signing 1146538,2026-03-04|MEM|1641712.0|Signing|Memphis Grizzlies signed guard Rayan Rupert to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-04,New Orleans Pelicans signed center Josh Oduro to a Two-Way Contract.,NOP,1642490.0,josh-oduro,Signing 1146539,2026-03-04|NOP|1642490.0|Signing|New Orleans Pelicans signed center Josh Oduro to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-05,Signed Tyus Jones (NBA.com roster signing date),DEN,1626145.0,tyus-jones,NBA roster signing 1626145,2026-03-05|DEN|1626145.0|Signing|Signed Tyus Jones (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612743
Signing,2026-03-05,Signed Tyus Jones (NBA.com roster signing date),DEN,1626145,tyus-jones,NBA roster signing 1626145,2026-03-05|DEN|1626145|Signing|Signed Tyus Jones (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612743
Signing,2026-03-05,Sacramento Kings signed guard Killian Hayes to a 10-Day Contract.,SAC,1630165.0,killian-hayes,Signing 1146581,2026-03-05|SAC|1630165.0|Signing|Sacramento Kings signed guard Killian Hayes to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-08,Utah Jazz signed center Mo Bamba to a 10-Day Contract.,UTA,1628964.0,mo-bamba,Signing 1146802,2026-03-08|UTA|1628964.0|Signing|Utah Jazz signed center Mo Bamba to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-09,Utah Jazz waived guard Vince Williams Jr..,UTA,1631246.0,vince-williams-jr,Waive 1146817,2026-03-09|UTA|1631246.0|Waive|Utah Jazz waived guard Vince Williams Jr..,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-11,Utah Jazz signed forward Andersson Garcia to a 10-Day Contract.,UTA,1643158.0,andersson-garcia,Signing 1146921,2026-03-11|UTA|1643158.0|Signing|Utah Jazz signed forward Andersson Garcia to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-12,Memphis Grizzlies signed forward Tyler Burton to a 10-Day Contract.,MEM,1631174.0,tyler-burton,Signing 1146960,2026-03-12|MEM|1631174.0|Signing|Memphis Grizzlies signed forward Tyler Burton to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-13,Memphis Grizzlies signed guard DeJon Jarreau to a 10-Day Contract.,MEM,1630610.0,dejon-jarreau,Signing 1147037,2026-03-13|MEM|1630610.0|Signing|Memphis Grizzlies signed guard DeJon Jarreau to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-13,Signed Bez Mbeng (NBA.com roster signing date),UTA,1643016.0,bez-mbeng,NBA roster signing 1643016,2026-03-13|UTA|1643016.0|Signing|Signed Bez Mbeng (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612762
Signing,2026-03-14,Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.,BRK,1641869.0,malachi-smith,Signing 1147096,2026-03-14|BRK|1641869.0|Signing|Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-15,Boston Celtics signed center Charles Bassey to a 10-Day Contract.,BOS,1629646.0,charles-bassey,Signing 1147113,2026-03-15|BOS|1629646.0|Signing|Boston Celtics signed center Charles Bassey to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-15,Boston Celtics re-signed guard Max Shulga to a Rest-of-Season Contract.,BOS,1642917.0,max-shulga,Signing 1147114,2026-03-15|BOS|1642917.0|Signing|Boston Celtics re-signed guard Max Shulga to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-15,Golden State Warriors signed center Omer Yurtseven to a 10-Day Contract.,GSW,1630209.0,omer-yurtseven,Signing 1147102,2026-03-15|GSW|1630209.0|Signing|Golden State Warriors signed center Omer Yurtseven to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-15,Sacramento Kings signed guard Killian Hayes to a Rest-of-Season Contract.,SAC,1630165.0,killian-hayes,Signing 1147103,2026-03-15|SAC|1630165.0|Signing|Sacramento Kings signed guard Killian Hayes to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-20,Orlando Magic re-signed forward Jamal Cain to a Rest-of-Season Contract.,ORL,1631288.0,jamal-cain,Signing 1147389,2026-03-20|ORL|1631288.0|Signing|Orlando Magic re-signed forward Jamal Cain to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-21,Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,UTA,1631113.0,kennedy-chandler,Signing 1147400,2026-03-21|UTA|1631113.0|Signing|Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-23,Memphis Grizzlies signed forward Tyler Burton to a 10-Day Contract.,MEM,1631174.0,tyler-burton,Signing 1147490,2026-03-23|MEM|1631174.0|Signing|Memphis Grizzlies signed forward Tyler Burton to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-23,Memphis Grizzlies signed guard DeJon Jarreau to a 10-Day Contract.,MEM,1630610.0,dejon-jarreau,Signing 1147491,2026-03-23|MEM|1630610.0|Signing|Memphis Grizzlies signed guard DeJon Jarreau to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-23,Milwaukee Bucks waived guard Cam Thomas.,MIL,1630560.0,cam-thomas,Waive 1147551,2026-03-23|MIL|1630560.0|Waive|Milwaukee Bucks waived guard Cam Thomas.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-23,Milwaukee Bucks re-signed forward Pete Nance to a Rest-of-Season Contract.,MIL,1631250.0,pete-nance,Signing 1147545,2026-03-23|MIL|1631250.0|Signing|Milwaukee Bucks re-signed forward Pete Nance to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-23,Toronto Raptors signed guard Markelle Fultz to a 10-Day Contract.,TOR,1628365.0,markelle-fultz,Signing 1147496,2026-03-23|TOR|1628365.0|Signing|Toronto Raptors signed guard Markelle Fultz to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-23,Utah Jazz signed guard Bez Mbeng to a 10-Day Contract.,UTA,1643016.0,bez-mbeng,Signing 1147493,2026-03-23|UTA|1643016.0|Signing|Utah Jazz signed guard Bez Mbeng to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-25,Boston Celtics signed center Charles Bassey to a 10-Day Contract.,BOS,1629646.0,charles-bassey,Signing 1147576,2026-03-25|BOS|1629646.0|Signing|Boston Celtics signed center Charles Bassey to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-25,Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.,BRK,1641869.0,malachi-smith,Signing 1147575,2026-03-25|BRK|1641869.0|Signing|Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-25,Golden State Warriors signed center Omer Yurtseven to a 10-Day Contract.,GSW,1630209.0,omer-yurtseven,Signing 1147578,2026-03-25|GSW|1630209.0|Signing|Golden State Warriors signed center Omer Yurtseven to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-26,Sacramento Kings signed guard DaQuan Jeffries to a 10-Day Contract.,SAC,1629610.0,daquan-jeffries,Signing 1147586,2026-03-26|SAC|1629610.0|Signing|Sacramento Kings signed guard DaQuan Jeffries to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-28,Memphis Grizzlies signed guard Adama Bal to a 10-Day Contract.,MEM,1642380.0,adama-bal,Signing 1147703,2026-03-28|MEM|1642380.0|Signing|Memphis Grizzlies signed guard Adama Bal to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-03-30,Chicago Bulls waived guard Jaden Ivey.,CHI,1631093.0,jaden-ivey,Waive 1147785,2026-03-30|CHI|1631093.0|Waive|Chicago Bulls waived guard Jaden Ivey.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-03-31,Memphis Grizzlies signed guard Lucas Williamson to a 10-Day Contract.,MEM,1631351.0,lucas-williamson,Signing 1147883,2026-03-31|MEM|1631351.0|Signing|Memphis Grizzlies signed guard Lucas Williamson to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-01,Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,UTA,1631113.0,kennedy-chandler,Signing 1147893,2026-04-01|UTA|1631113.0|Signing|Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-02,Brooklyn Nets signed forward Trevon Scott to a 10-Day Contract.,BRK,1630286.0,trevon-scott,Signing 1147906,2026-04-02|BRK|1630286.0|Signing|Brooklyn Nets signed forward Trevon Scott to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-03,Memphis Grizzlies signed guard Dariq Whitehead to a 10-Day Contract.,MEM,1641727.0,dariq-whitehead,Signing 1147950,2026-04-03|MEM|1641727.0|Signing|Memphis Grizzlies signed guard Dariq Whitehead to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-03,Memphis Grizzlies signed forward Toby Okani to a 10-Day Contract.,MEM,1643253.0,toby-okani,Signing 1147951,2026-04-03|MEM|1643253.0|Signing|Memphis Grizzlies signed forward Toby Okani to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-03,Utah Jazz signed guard Bez Mbeng to a Rest-of-Season Contract.,UTA,1643016.0,bez-mbeng,Signing 1147952,2026-04-03|UTA|1643016.0|Signing|Utah Jazz signed guard Bez Mbeng to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-04-04,Atlanta Hawks waived guard Caleb Houstan.,ATL,1631216.0,caleb-houstan,Waive 1148020,2026-04-04|ATL|1631216.0|Waive|Atlanta Hawks waived guard Caleb Houstan.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-04,Boston Celtics re-signed guard Ron Harper Jr. to a Rest-of-Season Contract.,BOS,1631199.0,ron-harper-jr,Signing 1148021,2026-04-04|BOS|1631199.0|Signing|Boston Celtics re-signed guard Ron Harper Jr. to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-04,Brooklyn Nets signed guard Malachi Smith to a Rest-of-Season Contract.,BRK,1641869.0,malachi-smith,Signing 1148019,2026-04-04|BRK|1641869.0|Signing|Brooklyn Nets signed guard Malachi Smith to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-04-05,Signed Charles Bassey (NBA.com roster signing date),GSW,1629646.0,charles-bassey,NBA roster signing 1629646,2026-04-05|GSW|1629646.0|Signing|Signed Charles Bassey (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612744
Signing,2026-04-05,Signed Charles Bassey (NBA.com roster signing date),GSW,1629646,charles-bassey,NBA roster signing 1629646,2026-04-05|GSW|1629646|Signing|Signed Charles Bassey (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612744
